Serial,ElevationAngle,Azimuth
20240205121005,49.99,180.55
20240205122005,49.87,182.73
20240205123005,49.61,184.91
20240205124005,49.2,187.09
20240205125005,48.64,189.28
20240205130005,47.96,191.46
20240205131005,47.14,193.64
20240205132005,46.21,195.82
20240205133005,45.16,198.0
20240205134005,44.0,200.19
20240205135005,42.75,202.37
20240205140005,41.41,204.55
20240205141005,39.98,206.73
20240205142005,38.48,208.92
20240205143005,36.91,211.1
20240205144005,35.27,213.28
20240205145005,33.58,215.46
20240205150005,31.83,217.65
20240205151005,30.04,219.83
20240205152005,28.2,222.01
20240205153005,26.32,224.19
20240205154005,24.41,226.38
20240205155005,22.46,228.56
20240205160005,20.48,230.74
20240205161005,18.47,232.92
20240205162005,16.44,235.1
20240205163005,14.38,237.29
20240205164005,12.31,239.47
20240205165005,10.21,241.65
20240205170005,8.09,243.83
20240205171005,5.96,246.02
20240205172005,3.81,248.2
20240205173005,1.65,250.38
20240205174005,-0.52,252.56
20240206064005,0.57,108.53
20240206065005,2.74,110.7
20240206070005,4.89,112.88
20240206071005,7.03,115.06
20240206072005,9.15,117.24
20240206073005,11.26,119.42
20240206074005,13.35,121.6
20240206075005,15.41,123.78
20240206080005,17.46,125.96
20240206081005,19.48,128.14
20240206082005,21.47,130.32
20240206083005,23.44,132.5
20240206084005,25.37,134.67
20240206085005,27.27,136.85
20240206090005,29.12,139.03
20240206091005,30.94,141.21
20240206092005,32.71,143.39
20240206093005,34.43,145.57
20240206094005,36.1,147.75
20240206095005,37.7,149.93
20240206100005,39.24,152.11
20240206101005,40.71,154.29
20240206102005,42.09,156.47
20240206103005,43.39,158.64
20240206104005,44.59,160.82
20240206105005,45.7,163.0
20240206110005,46.69,165.18
20240206111005,47.57,167.36
20240206112005,48.32,169.54
20240206113005,48.94,171.72
20240206114005,49.42,173.9
20240206115005,49.76,176.08
20240206120005,49.95,178.26
20240206121005,50.0,180.44
20240206122005,49.89,182.61
20240206123005,49.64,184.79
20240206124005,49.24,186.97
20240206125005,48.71,189.15
20240206130005,48.03,191.33
20240206131005,47.23,193.51
20240206132005,46.31,195.69
20240206133005,45.27,197.87
20240206134005,44.12,200.05
20240206135005,42.88,202.23
20240206140005,41.55,204.41
20240206141005,40.13,206.59
20240206142005,38.63,208.76
20240206143005,37.07,210.94
20240206144005,35.44,213.12
20240206145005,33.75,215.3
20240206150005,32.01,217.48
20240206151005,30.22,219.66
20240206152005,28.39,221.84
20240206153005,26.51,224.02
20240206154005,24.6,226.2
20240206155005,22.65,228.38
20240206160005,20.68,230.56
20240206161005,18.67,232.73
20240206162005,16.64,234.91
20240206163005,14.59,237.09
20240206164005,12.52,239.27
20240206165005,10.42,241.45
20240206170005,8.31,243.63
20240206171005,6.18,245.81
20240206172005,4.03,247.99
20240206173005,1.87,250.17
20240206174005,-0.3,252.35
20240207064005,0.99,108.74
20240207065005,3.17,110.92
20240207070005,5.34,113.09
20240207071005,7.49,115.27
20240207072005,9.63,117.44
20240207073005,11.75,119.62
20240207074005,13.85,121.8
20240207075005,15.93,123.97
20240207080005,17.99,126.15
20240207081005,20.03,128.32
20240207082005,22.04,130.5
20240207083005,24.02,132.68
20240207084005,25.97,134.85
20240207085005,27.89,137.03
20240207090005,29.77,139.2
20240207091005,31.6,141.38
20240207092005,33.4,143.55
20240207093005,35.14,145.73
20240207094005,36.83,147.91
20240207095005,38.46,150.08
20240207100005,40.02,152.26
20240207101005,41.51,154.43
20240207102005,42.92,156.61
20240207103005,44.24,158.79
20240207104005,45.47,160.96
20240207105005,46.6,163.14
20240207110005,47.61,165.31
20240207111005,48.51,167.49
20240207112005,49.28,169.66
20240207113005,49.91,171.84
20240207114005,50.4,174.02
20240207115005,50.75,176.19
20240207120005,50.95,178.37
20240207121005,51.0,180.54
20240207122005,50.89,182.72
20240207123005,50.63,184.9
20240207124005,50.22,187.07
20240207125005,49.67,189.25
20240207130005,48.98,191.42
20240207131005,48.16,193.6
20240207132005,47.22,195.77
20240207133005,46.16,197.95
20240207134005,44.99,200.13
20240207135005,43.72,202.3
20240207140005,42.36,204.48
20240207141005,40.92,206.65
20240207142005,39.4,208.83
20240207143005,37.81,211.01
20240207144005,36.16,213.18
20240207145005,34.45,215.36
20240207150005,32.68,217.53
20240207151005,30.87,219.71
20240207152005,29.02,221.89
20240207153005,27.12,224.06
20240207154005,25.19,226.24
20240207155005,23.23,228.41
20240207160005,21.24,230.59
20240207161005,19.22,232.76
20240207162005,17.17,234.94
20240207163005,15.1,237.12
20240207164005,13.01,239.29
20240207165005,10.9,241.47
20240207170005,8.77,243.64
20240207171005,6.63,245.82
20240207172005,4.47,248.0
20240207173005,2.3,250.17
20240207174005,0.12,252.35
20240208064005,0.99,107.76
20240208065005,3.17,109.96
20240208070005,5.34,112.17
20240208071005,7.49,114.37
20240208072005,9.63,116.57
20240208073005,11.75,118.77
20240208074005,13.85,120.98
20240208075005,15.93,123.18
20240208080005,17.99,125.38
20240208081005,20.03,127.58
20240208082005,22.04,129.79
20240208083005,24.02,131.99
20240208084005,25.97,134.19
20240208085005,27.89,136.39
20240208090005,29.77,138.6
20240208091005,31.6,140.8
20240208092005,33.4,143.0
20240208093005,35.14,145.2
20240208094005,36.83,147.4
20240208095005,38.46,149.61
20240208100005,40.02,151.81
20240208101005,41.51,154.01
20240208102005,42.92,156.21
20240208103005,44.24,158.42
20240208104005,45.47,160.62
20240208105005,46.6,162.82
20240208110005,47.61,165.02
20240208111005,48.51,167.23
20240208112005,49.28,169.43
20240208113005,49.91,171.63
20240208114005,50.4,173.83
20240208115005,50.75,176.04
20240208120005,50.95,178.24
20240208121005,51.0,180.44
20240208122005,50.89,182.64
20240208123005,50.63,184.85
20240208124005,50.22,187.05
20240208125005,49.67,189.25
20240208130005,48.98,191.45
20240208131005,48.16,193.65
20240208132005,47.22,195.86
20240208133005,46.16,198.06
20240208134005,44.99,200.26
20240208135005,43.72,202.46
20240208140005,42.36,204.67
20240208141005,40.92,206.87
20240208142005,39.4,209.07
20240208143005,37.81,211.27
20240208144005,36.16,213.48
20240208145005,34.45,215.68
20240208150005,32.68,217.88
20240208151005,30.87,220.08
20240208152005,29.02,222.29
20240208153005,27.12,224.49
20240208154005,25.19,226.69
20240208155005,23.23,228.89
20240208160005,21.24,231.1
20240208161005,19.22,233.3
20240208162005,17.17,235.5
20240208163005,15.1,237.7
20240208164005,13.01,239.9
20240208165005,10.9,242.11
20240208170005,8.77,244.31
20240208171005,6.63,246.51
20240208172005,4.47,248.71
20240208173005,2.3,250.92
20240208174005,0.12,253.12
20240209064005,0.99,107.98
20240209065005,3.17,110.17
20240209070005,5.34,112.37
20240209071005,7.49,114.56
20240209072005,9.63,116.76
20240209073005,11.75,118.96
20240209074005,13.85,121.15
20240209075005,15.93,123.35
20240209080005,17.99,125.54
20240209081005,20.03,127.74
20240209082005,22.04,129.93
20240209083005,24.02,132.13
20240209084005,25.97,134.33
20240209085005,27.89,136.52
20240209090005,29.77,138.72
20240209091005,31.6,140.91
20240209092005,33.4,143.11
20240209093005,35.14,145.31
20240209094005,36.83,147.5
20240209095005,38.46,149.7
20240209100005,40.02,151.89
20240209101005,41.51,154.09
20240209102005,42.92,156.28
20240209103005,44.24,158.48
20240209104005,45.47,160.68
20240209105005,46.6,162.87
20240209110005,47.61,165.07
20240209111005,48.51,167.26
20240209112005,49.28,169.46
20240209113005,49.91,171.66
20240209114005,50.4,173.85
20240209115005,50.75,176.05
20240209120005,50.95,178.24
20240209121005,51.0,180.44
20240209122005,50.89,182.64
20240209123005,50.63,184.83
20240209124005,50.22,187.03
20240209125005,49.67,189.22
20240209130005,48.98,191.42
20240209131005,48.16,193.61
20240209132005,47.22,195.81
20240209133005,46.16,198.01
20240209134005,44.99,200.2
20240209135005,43.72,202.4
20240209140005,42.36,204.59
20240209141005,40.92,206.79
20240209142005,39.4,208.99
20240209143005,37.81,211.18
20240209144005,36.16,213.38
20240209145005,34.45,215.57
20240209150005,32.68,217.77
20240209151005,30.87,219.96
20240209152005,29.02,222.16
20240209153005,27.12,224.36
20240209154005,25.19,226.55
20240209155005,23.23,228.75
20240209160005,21.24,230.94
20240209161005,19.22,233.14
20240209162005,17.17,235.34
20240209163005,15.1,237.53
20240209164005,13.01,239.73
20240209165005,10.9,241.92
20240209170005,8.77,244.12
20240209171005,6.63,246.31
20240209172005,4.47,248.51
20240209173005,2.3,250.71
20240209174005,0.12,252.9
20240210064005,1.42,107.99
20240210065005,3.61,110.2
20240210070005,5.78,112.41
20240210071005,7.95,114.62
20240210072005,10.1,116.83
20240210073005,12.23,119.04
20240210074005,14.35,121.25
20240210075005,16.44,123.46
20240210080005,18.52,125.68
20240210081005,20.57,127.89
20240210082005,22.6,130.1
20240210083005,24.6,132.31
20240210084005,26.57,134.52
20240210085005,28.5,136.73
20240210090005,30.4,138.94
20240210091005,32.26,141.15
20240210092005,34.07,143.36
20240210093005,35.84,145.57
20240210094005,37.55,147.78
20240210095005,39.2,149.99
20240210100005,40.79,152.2
20240210101005,42.3,154.41
20240210102005,43.74,156.62
20240210103005,45.09,158.84
20240210104005,46.34,161.05
20240210105005,47.49,163.26
20240210110005,48.53,165.47
20240210111005,49.44,167.68
20240210112005,50.23,169.89
20240210113005,50.88,172.1
20240210114005,51.39,174.31
20240210115005,51.75,176.52
20240210120005,51.95,178.73
20240210121005,52.0,180.94
20240210122005,51.89,183.15
20240210123005,51.62,185.36
20240210124005,51.2,187.57
20240210125005,50.64,189.78
20240210130005,49.93,192.0
20240210131005,49.09,194.21
20240210132005,48.13,196.42
20240210133005,47.04,198.63
20240210134005,45.85,200.84
20240210135005,44.56,203.05
20240210140005,43.17,205.26
20240210141005,41.71,207.47
20240210142005,40.16,209.68
20240210143005,38.55,211.89
20240210144005,36.87,214.1
20240210145005,35.14,216.31
20240210150005,33.35,218.52
20240210151005,31.52,220.73
20240210152005,29.65,222.95
20240210153005,27.73,225.16
20240210154005,25.78,227.37
20240210155005,23.8,229.58
20240210160005,21.79,231.79
20240210161005,19.75,234.0
20240210162005,17.69,236.21
20240210163005,15.61,238.42
20240210164005,13.5,240.63
20240210165005,11.38,242.84
20240210170005,9.24,245.05
20240210171005,7.08,247.26
20240210172005,4.91,249.47
20240210173005,2.73,251.68
20240210174005,0.54,253.89
20240211063005,-0.79,105.0
20240211064005,1.42,107.22
20240211065005,3.61,109.44
20240211070005,5.78,111.66
20240211071005,7.95,113.88
20240211072005,10.1,116.09
20240211073005,12.23,118.31
20240211074005,14.35,120.53
20240211075005,16.44,122.75
20240211080005,18.52,124.97
20240211081005,20.57,127.19
20240211082005,22.6,129.41
20240211083005,24.6,131.63
20240211084005,26.57,133.85
20240211085005,28.5,136.07
20240211090005,30.4,138.28
20240211091005,32.26,140.5
20240211092005,34.07,142.72
20240211093005,35.84,144.94
20240211094005,37.55,147.16
20240211095005,39.2,149.38
20240211100005,40.79,151.6
20240211101005,42.3,153.82
20240211102005,43.74,156.04
20240211103005,45.09,158.25
20240211104005,46.34,160.47
20240211105005,47.49,162.69
20240211110005,48.53,164.91
20240211111005,49.44,167.13
20240211112005,50.23,169.35
20240211113005,50.88,171.57
20240211114005,51.39,173.79
20240211115005,51.75,176.01
20240211120005,51.95,178.22
20240211121005,52.0,180.44
20240211122005,51.89,182.66
20240211123005,51.62,184.88
20240211124005,51.2,187.1
20240211125005,50.64,189.32
20240211130005,49.93,191.54
20240211131005,49.09,193.76
20240211132005,48.13,195.98
20240211133005,47.04,198.2
20240211134005,45.85,200.41
20240211135005,44.56,202.63
20240211140005,43.17,204.85
20240211141005,41.71,207.07
20240211142005,40.16,209.29
20240211143005,38.55,211.51
20240211144005,36.87,213.73
20240211145005,35.14,215.95
20240211150005,33.35,218.17
20240211151005,31.52,220.38
20240211152005,29.65,222.6
20240211153005,27.73,224.82
20240211154005,25.78,227.04
20240211155005,23.8,229.26
20240211160005,21.79,231.48
20240211161005,19.75,233.7
20240211162005,17.69,235.92
20240211163005,15.61,238.14
20240211164005,13.5,240.36
20240211165005,11.38,242.57
20240211170005,9.24,244.79
20240211171005,7.08,247.01
20240211172005,4.91,249.23
20240211173005,2.73,251.45
20240211174005,0.54,253.67
20240212063005,-0.79,105.22
20240212064005,1.42,107.44
20240212065005,3.61,109.65
20240212070005,5.78,111.87
20240212071005,7.95,114.08
20240212072005,10.1,116.3
20240212073005,12.23,118.52
20240212074005,14.35,120.73
20240212075005,16.44,122.95
20240212080005,18.52,125.16
20240212081005,20.57,127.38
20240212082005,22.6,129.59
20240212083005,24.6,131.81
20240212084005,26.57,134.03
20240212085005,28.5,136.24
20240212090005,30.4,138.46
20240212091005,32.26,140.67
20240212092005,34.07,142.89
20240212093005,35.84,145.1
20240212094005,37.55,147.32
20240212095005,39.2,149.53
20240212100005,40.79,151.75
20240212101005,42.3,153.97
20240212102005,43.74,156.18
20240212103005,45.09,158.4
20240212104005,46.34,160.61
20240212105005,47.49,162.83
20240212110005,48.53,165.04
20240212111005,49.44,167.26
20240212112005,50.23,169.48
20240212113005,50.88,171.69
20240212114005,51.39,173.91
20240212115005,51.75,176.12
20240212120005,51.95,178.34
20240212121005,52.0,180.55
20240212122005,51.89,182.77
20240212123005,51.62,184.99
20240212124005,51.2,187.2
20240212125005,50.64,189.42
20240212130005,49.93,191.63
20240212131005,49.09,193.85
20240212132005,48.13,196.06
20240212133005,47.04,198.28
20240212134005,45.85,200.49
20240212135005,44.56,202.71
20240212140005,43.17,204.93
20240212141005,41.71,207.14
20240212142005,40.16,209.36
20240212143005,38.55,211.57
20240212144005,36.87,213.79
20240212145005,35.14,216.0
20240212150005,33.35,218.22
20240212151005,31.52,220.44
20240212152005,29.65,222.65
20240212153005,27.73,224.87
20240212154005,25.78,227.08
20240212155005,23.8,229.3
20240212160005,21.79,231.51
20240212161005,19.75,233.73
20240212162005,17.69,235.95
20240212163005,15.61,238.16
20240212164005,13.5,240.38
20240212165005,11.38,242.59
20240212170005,9.24,244.81
20240212171005,7.08,247.02
20240212172005,4.91,249.24
20240212173005,2.73,251.45
20240212174005,0.54,253.67
20240213063005,-0.79,105.22
20240213064005,1.42,107.45
20240213065005,3.61,109.68
20240213070005,5.78,111.9
20240213071005,7.95,114.13
20240213072005,10.1,116.36
20240213073005,12.23,118.59
20240213074005,14.35,120.81
20240213075005,16.44,123.04
20240213080005,18.52,125.27
20240213081005,20.57,127.49
20240213082005,22.6,129.72
20240213083005,24.6,131.95
20240213084005,26.57,134.18
20240213085005,28.5,136.4
20240213090005,30.4,138.63
20240213091005,32.26,140.86
20240213092005,34.07,143.08
20240213093005,35.84,145.31
20240213094005,37.55,147.54
20240213095005,39.2,149.77
20240213100005,40.79,151.99
20240213101005,42.3,154.22
20240213102005,43.74,156.45
20240213103005,45.09,158.67
20240213104005,46.34,160.9
20240213105005,47.49,163.13
20240213110005,48.53,165.36
20240213111005,49.44,167.58
20240213112005,50.23,169.81
20240213113005,50.88,172.04
20240213114005,51.39,174.26
20240213115005,51.75,176.49
20240213120005,51.95,178.72
20240213121005,52.0,180.95
20240213122005,51.89,183.17
20240213123005,51.62,185.4
20240213124005,51.2,187.63
20240213125005,50.64,189.85
20240213130005,49.93,192.08
20240213131005,49.09,194.31
20240213132005,48.13,196.54
20240213133005,47.04,198.76
20240213134005,45.85,200.99
20240213135005,44.56,203.22
20240213140005,43.17,205.44
20240213141005,41.71,207.67
20240213142005,40.16,209.9
20240213143005,38.55,212.13
20240213144005,36.87,214.35
20240213145005,35.14,216.58
20240213150005,33.35,218.81
20240213151005,31.52,221.03
20240213152005,29.65,223.26
20240213153005,27.73,225.49
20240213154005,25.78,227.72
20240213155005,23.8,229.94
20240213160005,21.79,232.17
20240213161005,19.75,234.4
20240213162005,17.69,236.62
20240213163005,15.61,238.85
20240213164005,13.5,241.08
20240213165005,11.38,243.31
20240213170005,9.24,245.53
20240213171005,7.08,247.76
20240213172005,4.91,249.99
20240213173005,2.73,252.21
20240213174005,0.54,254.44
20240214063005,-0.37,104.45
20240214064005,1.84,106.68
20240214065005,4.04,108.92
20240214070005,6.23,111.15
20240214071005,8.4,113.39
20240214072005,10.56,115.62
20240214073005,12.71,117.86
20240214074005,14.84,120.09
20240214075005,16.95,122.33
20240214080005,19.04,124.56
20240214081005,21.11,126.8
20240214082005,23.15,129.04
20240214083005,25.17,131.27
20240214084005,27.15,133.51
20240214085005,29.11,135.74
20240214090005,31.03,137.98
20240214091005,32.91,140.21
20240214092005,34.74,142.45
20240214093005,36.53,144.68
20240214094005,38.27,146.92
20240214095005,39.94,149.15
20240214100005,41.55,151.39
20240214101005,43.09,153.62
20240214102005,44.55,155.86
20240214103005,45.93,158.09
20240214104005,47.21,160.33
20240214105005,48.38,162.56
20240214110005,49.44,164.8
20240214111005,50.38,167.04
20240214112005,51.19,169.27
20240214113005,51.85,171.51
20240214114005,52.37,173.74
20240214115005,52.74,175.98
20240214120005,52.95,178.21
20240214121005,53.0,180.45
20240214122005,52.88,182.68
20240214123005,52.61,184.92
20240214124005,52.18,187.15
20240214125005,51.6,189.39
20240214130005,50.88,191.62
20240214131005,50.02,193.86
20240214132005,49.03,196.09
20240214133005,47.92,198.33
20240214134005,46.71,200.56
20240214135005,45.39,202.8
20240214140005,43.98,205.04
20240214141005,42.49,207.27
20240214142005,40.92,209.51
20240214143005,39.28,211.74
20240214144005,37.58,213.98
20240214145005,35.82,216.21
20240214150005,34.02,218.45
20240214151005,32.16,220.68
20240214152005,30.27,222.92
20240214153005,28.33,225.15
20240214154005,26.36,227.39
20240214155005,24.36,229.62
20240214160005,22.34,231.86
20240214161005,20.28,234.09
20240214162005,18.21,236.33
20240214163005,16.11,238.56
20240214164005,13.99,240.8
20240214165005,11.85,243.04
20240214170005,9.7,245.27
20240214171005,7.53,247.51
20240214172005,5.35,249.74
20240214173005,3.16,251.98
20240214174005,0.96,254.21
20240215063005,-0.37,104.67
20240215064005,1.84,106.9
20240215065005,4.04,109.13
20240215070005,6.23,111.37
20240215071005,8.4,113.6
20240215072005,10.56,115.83
20240215073005,12.71,118.06
20240215074005,14.84,120.29
20240215075005,16.95,122.53
20240215080005,19.04,124.76
20240215081005,21.11,126.99
20240215082005,23.15,129.22
20240215083005,25.17,131.45
20240215084005,27.15,133.69
20240215085005,29.11,135.92
20240215090005,31.03,138.15
20240215091005,32.91,140.38
20240215092005,34.74,142.61
20240215093005,36.53,144.85
20240215094005,38.27,147.08
20240215095005,39.94,149.31
20240215100005,41.55,151.54
20240215101005,43.09,153.77
20240215102005,44.55,156.01
20240215103005,45.93,158.24
20240215104005,47.21,160.47
20240215105005,48.38,162.7
20240215110005,49.44,164.93
20240215111005,50.38,167.17
20240215112005,51.19,169.4
20240215113005,51.85,171.63
20240215114005,52.37,173.86
20240215115005,52.74,176.09
20240215120005,52.95,178.33
20240215121005,53.0,180.56
20240215122005,52.88,182.79
20240215123005,52.61,185.02
20240215124005,52.18,187.25
20240215125005,51.6,189.49
20240215130005,50.88,191.72
20240215131005,50.02,193.95
20240215132005,49.03,196.18
20240215133005,47.92,198.41
20240215134005,46.71,200.65
20240215135005,45.39,202.88
20240215140005,43.98,205.11
20240215141005,42.49,207.34
20240215142005,40.92,209.57
20240215143005,39.28,211.81
20240215144005,37.58,214.04
20240215145005,35.82,216.27
20240215150005,34.02,218.5
20240215151005,32.16,220.73
20240215152005,30.27,222.97
20240215153005,28.33,225.2
20240215154005,26.36,227.43
20240215155005,24.36,229.66
20240215160005,22.34,231.89
20240215161005,20.28,234.13
20240215162005,18.21,236.36
20240215163005,16.11,238.59
20240215164005,13.99,240.82
20240215165005,11.85,243.05
20240215170005,9.7,245.29
20240215171005,7.53,247.52
20240215172005,5.35,249.75
20240215173005,3.16,251.98
20240215174005,0.96,254.21
20240216063005,0.04,103.68
20240216064005,2.26,105.94
20240216065005,4.47,108.19
20240216070005,6.67,110.45
20240216071005,8.86,112.71
20240216072005,11.03,114.97
20240216073005,13.19,117.23
20240216074005,15.33,119.48
20240216075005,17.45,121.74
20240216080005,19.56,124.0
20240216081005,21.64,126.26
20240216082005,23.7,128.52
20240216083005,25.73,130.77
20240216084005,27.74,133.03
20240216085005,29.71,135.29
20240216090005,31.65,137.55
20240216091005,33.55,139.81
20240216092005,35.41,142.06
20240216093005,37.22,144.32
20240216094005,38.98,146.58
20240216095005,40.68,148.84
20240216100005,42.31,151.1
20240216101005,43.88,153.35
20240216102005,45.36,155.61
20240216103005,46.76,157.87
20240216104005,48.07,160.13
20240216105005,49.27,162.39
20240216110005,50.35,164.65
20240216111005,51.31,166.9
20240216112005,52.14,169.16
20240216113005,52.82,171.42
20240216114005,53.36,173.68
20240216115005,53.73,175.94
20240216120005,53.95,178.19
20240216121005,54.0,180.45
20240216122005,53.88,182.71
20240216123005,53.6,184.97
20240216124005,53.16,187.23
20240216125005,52.57,189.48
20240216130005,51.82,191.74
20240216131005,50.94,194.0
20240216132005,49.93,196.26
20240216133005,48.8,198.52
20240216134005,47.56,200.77
20240216135005,46.21,203.03
20240216140005,44.78,205.29
20240216141005,43.26,207.55
20240216142005,41.67,209.81
20240216143005,40.0,212.06
20240216144005,38.28,214.32
20240216145005,36.5,216.58
20240216150005,34.67,218.84
20240216151005,32.8,221.1
20240216152005,30.88,223.35
20240216153005,28.93,225.61
20240216154005,26.94,227.87
20240216155005,24.92,230.13
20240216160005,22.88,232.39
20240216161005,20.81,234.65
20240216162005,18.72,236.9
20240216163005,16.61,239.16
20240216164005,14.47,241.42
20240216165005,12.33,243.68
20240216170005,10.16,245.94
20240216171005,7.98,248.19
20240216172005,5.79,250.45
20240216173005,3.59,252.71
20240216174005,1.38,254.97
20240217063005,0.04,103.9
20240217064005,2.26,106.16
20240217065005,4.47,108.41
20240217070005,6.67,110.67
20240217071005,8.86,112.92
20240217072005,11.03,115.18
20240217073005,13.19,117.43
20240217074005,15.33,119.69
20240217075005,17.45,121.94
20240217080005,19.56,124.19
20240217081005,21.64,126.45
20240217082005,23.7,128.7
20240217083005,25.73,130.96
20240217084005,27.74,133.21
20240217085005,29.71,135.47
20240217090005,31.65,137.72
20240217091005,33.55,139.98
20240217092005,35.41,142.23
20240217093005,37.22,144.49
20240217094005,38.98,146.74
20240217095005,40.68,149.0
20240217100005,42.31,151.25
20240217101005,43.88,153.51
20240217102005,45.36,155.76
20240217103005,46.76,158.02
20240217104005,48.07,160.27
20240217105005,49.27,162.53
20240217110005,50.35,164.78
20240217111005,51.31,167.04
20240217112005,52.14,169.29
20240217113005,52.82,171.54
20240217114005,53.36,173.8
20240217115005,53.73,176.05
20240217120005,53.95,178.31
20240217121005,54.0,180.56
20240217122005,53.88,182.82
20240217123005,53.6,185.07
20240217124005,53.16,187.33
20240217125005,52.57,189.58
20240217130005,51.82,191.84
20240217131005,50.94,194.09
20240217132005,49.93,196.35
20240217133005,48.8,198.6
20240217134005,47.56,200.86
20240217135005,46.21,203.11
20240217140005,44.78,205.37
20240217141005,43.26,207.62
20240217142005,41.67,209.88
20240217143005,40.0,212.13
20240217144005,38.28,214.39
20240217145005,36.5,216.64
20240217150005,34.67,218.89
20240217151005,32.8,221.15
20240217152005,30.88,223.4
20240217153005,28.93,225.66
20240217154005,26.94,227.91
20240217155005,24.92,230.17
20240217160005,22.88,232.42
20240217161005,20.81,234.68
20240217162005,18.72,236.93
20240217163005,16.61,239.19
20240217164005,14.47,241.44
20240217165005,12.33,243.7
20240217170005,10.16,245.95
20240217171005,7.98,248.21
20240217172005,5.79,250.46
20240217173005,3.59,252.72
20240217174005,1.38,254.97
20240218063005,0.04,104.13
20240218064005,2.26,106.39
20240218065005,4.47,108.66
20240218070005,6.67,110.92
20240218071005,8.86,113.18
20240218072005,11.03,115.45
20240218073005,13.19,117.71
20240218074005,15.33,119.97
20240218075005,17.45,122.23
20240218080005,19.56,124.5
20240218081005,21.64,126.76
20240218082005,23.7,129.02
20240218083005,25.73,131.28
20240218084005,27.74,133.55
20240218085005,29.71,135.81
20240218090005,31.65,138.07
20240218091005,33.55,140.34
20240218092005,35.41,142.6
20240218093005,37.22,144.86
20240218094005,38.98,147.12
20240218095005,40.68,149.39
20240218100005,42.31,151.65
20240218101005,43.88,153.91
20240218102005,45.36,156.18
20240218103005,46.76,158.44
20240218104005,48.07,160.7
20240218105005,49.27,162.96
20240218110005,50.35,165.23
20240218111005,51.31,167.49
20240218112005,52.14,169.75
20240218113005,52.82,172.01
20240218114005,53.36,174.28
20240218115005,53.73,176.54
20240218120005,53.95,178.8
20240218121005,54.0,181.07
20240218122005,53.88,183.33
20240218123005,53.6,185.59
20240218124005,53.16,187.85
20240218125005,52.57,190.12
20240218130005,51.82,192.38
20240218131005,50.94,194.64
20240218132005,49.93,196.91
20240218133005,48.8,199.17
20240218134005,47.56,201.43
20240218135005,46.21,203.69
20240218140005,44.78,205.96
20240218141005,43.26,208.22
20240218142005,41.67,210.48
20240218143005,40.0,212.74
20240218144005,38.28,215.01
20240218145005,36.5,217.27
20240218150005,34.67,219.53
20240218151005,32.8,221.8
20240218152005,30.88,224.06
20240218153005,28.93,226.32
20240218154005,26.94,228.58
20240218155005,24.92,230.85
20240218160005,22.88,233.11
20240218161005,20.81,235.37
20240218162005,18.72,237.64
20240218163005,16.61,239.9
20240218164005,14.47,242.16
20240218165005,12.33,244.42
20240218170005,10.16,246.69
20240218171005,7.98,248.95
20240218172005,5.79,251.21
20240218173005,3.59,253.47
20240218174005,1.38,255.74
20240218175005,-0.85,258.0
20240219063005,0.68,103.14
20240219064005,2.91,105.41
20240219065005,5.13,107.69
20240219070005,7.33,109.96
20240219071005,9.53,112.23
20240219072005,11.71,114.51
20240219073005,13.88,116.78
20240219074005,16.03,119.06
20240219075005,18.17,121.33
20240219080005,20.28,123.6
20240219081005,22.38,125.88
20240219082005,24.45,128.15
20240219083005,26.5,130.43
20240219084005,28.52,132.7
20240219085005,30.51,134.97
20240219090005,32.46,137.25
20240219091005,34.38,139.52
20240219092005,36.25,141.8
20240219093005,38.08,144.07
20240219094005,39.85,146.34
20240219095005,41.57,148.62
20240219100005,43.23,150.89
20240219101005,44.81,153.17
20240219102005,46.31,155.44
20240219103005,47.73,157.71
20240219104005,49.05,159.99
20240219105005,50.26,162.26
20240219110005,51.36,164.54
20240219111005,52.33,166.81
20240219112005,53.16,169.08
20240219113005,53.85,171.36
20240219114005,54.38,173.63
20240219115005,54.75,175.91
20240219120005,54.96,178.18
20240219121005,54.99,180.45
20240219122005,54.86,182.73
20240219123005,54.55,185.0
20240219124005,54.08,187.28
20240219125005,53.46,189.55
20240219130005,52.68,191.83
20240219131005,51.76,194.1
20240219132005,50.72,196.37
20240219133005,49.55,198.65
20240219134005,48.27,200.92
20240219135005,46.89,203.2
20240219140005,45.42,205.47
20240219141005,43.87,207.74
20240219142005,42.24,210.02
20240219143005,40.55,212.29
20240219144005,38.8,214.57
20240219145005,36.99,216.84
20240219150005,35.13,219.11
20240219151005,33.23,221.39
20240219152005,31.29,223.66
20240219153005,29.32,225.94
20240219154005,27.31,228.21
20240219155005,25.27,230.48
20240219160005,23.21,232.76
20240219161005,21.12,235.03
20240219162005,19.01,237.31
20240219163005,16.89,239.58
20240219164005,14.74,241.85
20240219165005,12.58,244.13
20240219170005,10.4,246.4
20240219171005,8.21,248.68
20240219172005,6.01,250.95
20240219173005,3.8,253.22
20240219174005,1.57,255.5
20240219175005,-0.66,257.77
20240220063005,0.68,103.36
20240220064005,2.91,105.63
20240220065005,5.13,107.9
20240220070005,7.33,110.17
20240220071005,9.53,112.45
20240220072005,11.71,114.72
20240220073005,13.88,116.99
20240220074005,16.03,119.26
20240220075005,18.17,121.53
20240220080005,20.28,123.8
20240220081005,22.38,126.07
20240220082005,24.45,128.34
20240220083005,26.5,130.61
20240220084005,28.52,132.88
20240220085005,30.51,135.15
